z,p
33000.,1.4940601335162851e-6
33150.,1.4654811891978057e-6
33300.,1.4374661996338298e-6
33450.,1.4100036954913903e-6
33600.,1.3830824476132246e-6
33750.,1.356691461843588e-6
33900.,1.3308199739686543e-6
34050.,1.305457444768913e-6
34200.,1.2805935551809797e-6
34350.,1.2562182015663419e-6
34500.,1.232321491084651e-6
34650.,1.2088937371691398e-6
34800.,1.1859254551018604e-6
34950.,1.1634073576865279e-6
35100.,1.141330351016662e-6
35250.,1.1196855303369894e-6
35400.,1.0984641759958864e-6
35550.,1.0776577494868945e-6
35700.,1.057257889577201e-6
35850.,1.0372564085212472e-6
36000.,1.0176452883573877e-6
36150.,9.984166772859006e-7
36300.,9.795628861263449e-7
36450.,9.610763848526057e-7
36600.,9.429497992038203e-7
36750.,9.251759073694839e-7
36900.,9.07747636747084e-7
37050.,8.906580607705928e-7
37200.,8.739003958082974e-7
37350.,8.574679981283327e-7
37500.,8.413543609304681e-7
37650.,8.255531114425918e-7
37800.,8.100580080805218e-7
37950.,7.948629376696542e-7
38100.,7.799619127271175e-7
38250.,7.653490688030481e-7
38400.,7.510186618796726e-7
38550.,7.369650658269425e-7
38700.,7.23182769913371e-7
38850.,7.096663763709451e-7
39000.,6.964105980128405e-7
39150.,6.834102559027711e-7
39300.,6.706602770748488e-7
39450.,6.581556923028028e-7
39600.,6.45891633917484e-7
39750.,6.33863333671557e-7
39900.,6.220661206503351e-7
40050.,6.104954192277829e-7
40200.,5.991467470665832e-7
40350.,5.880157131614001e-7
40500.,5.77098015924318e-7
40650.,5.663894413115225e-7
40800.,5.558858609903504e-7
40950.,5.455832305457626e-7
41100.,5.354775877254231e-7
41250.,5.255650507224771e-7
41400.,5.158418164952506e-7
41550.,5.063041591230024e-7
41700.,4.969484281969726e-7
41850.,4.877710472459485e-7
42000.,4.787685121955409e-7
42150.,4.699373898605071e-7
42300.,4.61274316469309e-7
42450.,4.527759962202742e-7
42600.,4.4443919986859447e-7
42750.,4.3626076334356157e-7
42900.,4.282375863952845e-7
43050.,4.2036663127034243e-7
43200.,4.12644921415643e-7
43350.,4.0506954020995007e-7
43500.,3.976376297224111e-7
43650.,3.9034638949753156e-7
43800.,3.8319307536601873e-7
43950.,3.7617499828088903e-7
44100.,3.6928952317833253e-7
44250.,3.625340678627795e-7
44400.,3.559061019156365e-7
44550.,3.4940314562716735e-7
44700.,3.430227689510303e-7
44850.,3.3676259048097535e-7
45000.,3.306202764492221e-7
45150.,3.245935397460185e-7
45300.,3.186801389599682e-7
45450.,3.128778774386262e-7
45600.,3.071846023689663e-7
45750.,3.015982038772481e-7
45900.,2.9611661414790347e-7
46050.,2.9073780656098077e-7
46200.,2.8545979484781096e-7
46350.,2.802806322644283e-7
46500.,2.7519841078241824e-7
46650.,2.702112602967825e-7
46800.,2.6531734785047297e-7
46950.,2.605148768752206e-7
47100.,2.558020864483109e-7
47250.,2.5117725056497524e-7
47400.,2.466386774260335e-7
47550.,2.421847087404942e-7
47700.,2.378137190427528e-7
47850.,2.3352411502410318e-7
48000.,2.2931433487825062e-7
48150.,2.2518284766049854e-7
48300.,2.2112815266035137e-7
48450.,2.1714877878722366e-7
48600.,2.1324328396898215e-7
48750.,2.094102545630298e-7
48900.,2.0564830477970035e-7
49050.,2.019560761176481e-7
49200.,1.9833223681102067e-7
49350.,1.9477548128813892e-7
49500.,1.9128452964144476e-7
49650.,1.878581271084732e-7
49800.,1.8449504356361555e-7
49950.,1.811940730204447e-7
150.,0.00014125118809298363
300.,0.0001381271357027085
450.,0.00013507435589608032
600.,0.00013209117303359508
750.,0.00012917595203536323
900.,0.0001263270973711896
1050.,0.0001235430520765013
1200.,0.00012082229679344302
1350.,0.00011816334883647749
1500.,0.00011556476128185111
1650.,0.00011302512208029324
1800.,0.00011054305319234564
1950.,0.00010811720974573056
2100.,0.00010574627921416851
2250.,0.00010342898061710348
2400.,0.00010116406373977234
2550.,0.00009895030837309715
2700.,0.00009678652357287758
2850.,0.00009467154693778705
3000.,0.00009260424390567011
3150.,0.00009058350706767924
3300.,0.00008860825549977775
3450.,0.0000866774341111522
3600.,0.00008479001300911538
3750.,0.00008294498688004415
3900.,0.0000811413743859574
4050.,0.00007937821757631871
4200.,0.00007765458131467184
4350.,0.00007596955271972186
4500.,0.00007432224062049456
4650.,0.00007271177502520283
4800.,0.00007113730660346806
4950.,0.00006959800618155789
5100.,0.00006809306425029207
5250.,0.00006662169048530004
5400.,0.0000651831132793102
5550.,0.00006377657928615512
5700.,0.00006240135297619883
5850.,0.00006105671620288571
6000.,0.000059741967780132647
6150.,0.000058456423070277166
6300.,0.000057199413582316986
6450.,0.00005597028658017769
6600.,0.00005476840470074305
6750.,0.00005359314558140969
6900.,0.00005244390149691426
7050.,0.000051320079005197495
7200.,0.000050221098602075465
7350.,0.000049146394384493304
7500.,0.000048095413722141255
7650.,0.00004706761693721846
7800.,0.00004606247699214149
7950.,0.00004507947918498949
8100.,0.000044118120852492835
8250.,0.00004317791108037308
8400.,0.0000422583704208443
8550.,0.00004135903061709907
8700.,0.00004047943433459695
8850.,0.00003961913489898528
9000.,0.000038777696040484145
9150.,0.00003795469164457144
9300.,0.00003714970550880807
9450.,0.00003636233110564832
9600.,0.00003559217135108544
9750.,0.00003483883837898186
9900.,0.00003410195332094366
10050.,0.000033381146091598526
10200.,0.00003267605517913932
10350.,0.00003198632744100296
10500.,0.000031311617904554175
10650.,0.00003065158957264851
10800.,0.000030005913233950435
10950.,0.000029374267277890426
11100.,0.000028756337514140944
11250.,0.00002815181699650004
11400.,0.00002756040585107159
11550.,0.00002698181110863425
11700.,0.000026415746541094812
11850.,0.000025861932501922717
12000.,0.00002532009577046736
12150.,0.00002478996940006044
12300.,0.000024271292569808822
12450.,0.00002376381043998672
12600.,0.000023267274010935936
12750.,0.000022781439985388053
12900.,0.000022306070634121862
13050.,0.000021840933664875754
13200.,0.00002138580209443076
13350.,0.000020940454123787636
13500.,0.000020504673016360773
13650.,0.000020078246979112858
13800.,0.000019660969046559628
13950.,0.00001925263696757152
14100.,0.000018853053094902854
14250.,0.000018462024277383645
14400.,0.000018079361754704647
14550.,0.000017704881054734505
14700.,0.000017338401893303947
14850.,0.000016979748076398703
15000.,0.000016628747404698814
15150.,0.000016285231580409557
15300.,0.00001594903611632481
15450.,0.000015620000247069844
15600.,0.000015297966842468502
15750.,0.000014982782322983589
15900.,0.00001467429657717898
16050.,0.000014372362881153819
16200.,0.000014076837819900535
16350.,0.000013787581210539575
16500.,0.000013504456027384566
16650.,0.00001322732832879313
16800.,0.000012956067185760347
16950.,0.000012690544612210928
17100.,0.000012430635496949734
17250.,0.000012176217537229587
17400.,0.000011927171173896922
17550.,0.00001168337952807711
17700.,0.000011444728339361205
17850.,0.000011211105905458622
18000.,0.000010982403023278922
18150.,0.000010758512931408628
18300.,0.000010539331253948998
18450.,0.000010324755945681565
18600.,0.000010114687238529405
18750.,9.909027589282363e-6
18900.,9.707681628556067e-6
19050.,9.510556110954331e-6
19200.,9.31755986640601e-6
19350.,9.128603752648126e-6
19500.,8.943600608826935e-6
19650.,8.762465210190757e-6
19800.,8.585114223847101e-6
19950.,8.411466165559702e-6
20100.,8.241441357559046e-6
20250.,8.074961887342982e-6
20400.,7.911951567443037e-6
20550.,7.75233589613346e-6
20700.,7.596042019059772e-6
20850.,7.442998691765658e-6
21000.,7.293136243095618e-6
21150.,7.146386539453021e-6
21300.,7.002682949892576e-6
21450.,6.861960312027721e-6
21600.,6.724154898732932e-6
21750.,6.5892043856220395e-6
21900.,6.457047819283988e-6
22050.,6.327625586258393e-6
22200.,6.200879382731881e-6
22350.,6.076752184939997e-6
22500.,5.955188220255523e-6
22650.,5.83613293894914e-6
22800.,5.719532986604356e-6
22950.,5.6053361771727e-6
23100.,5.493491466652748e-6
23250.,5.383948927379129e-6
23400.,5.27665972290616e-6
23550.,5.171576083472467e-6
23700.,5.068651282032649e-6
23850.,4.967839610842719e-6
24000.,4.86909635858555e-6
24150.,4.772377788024637e-6
24300.,4.677641114172328e-6
24450.,4.584844482961444e-6
24600.,4.4939469504079765e-6
24750.,4.404908462252739e-6
24900.,4.317689834071771e-6
25050.,4.232252731843341e-6
25200.,4.148559652961372e-6
25350.,4.06657390768465e-6
25500.,3.986259601011355e-6
25650.,3.9075816149691625e-6
25800.,3.8305055913110335e-6
25950.,3.7549979146069723e-6
26100.,3.6810256957227822e-6
26250.,3.6085567556762707e-6
26400.,3.5375596098627125e-6
26550.,3.4680034526399795e-6
26700.,3.3998581422659982e-6
26850.,3.333094186179142e-6
27000.,3.2676827266144787e-6
27150.,3.2035955265474787e-6
27300.,3.140804955957639e-6
27450.,3.0792839784045946e-6
27600.,3.019006137909343e-6
27750.,2.95994554613371e-6
27900.,2.902076869850475e-6
28050.,2.845375318698215e-6
28200.,2.7898166332136713e-6
28350.,2.735377073135114e-6
28500.,2.6820334059708788e-6
28650.,2.6297628958265076e-6
28800.,2.5785432924846205e-6
28950.,2.5283528207314754e-6
29100.,2.479170169924916e-6
29250.,2.43097448379763e-6
29400.,2.383745350490516e-6
29550.,2.33746279281078e-6
29700.,2.292107258709523e-6
29850.,2.247659611973807e-6
30000.,2.204101123128162e-6
30150.,2.161413460540734e-6
30300.,2.1195786817293463e-6
30450.,2.0785792248628736e-6
30600.,2.038397900453324e-6
30750.,1.999017883234455e-6
30900.,1.96042270422228e-6
31050.,1.9225962429536754e-6
31200.,1.885522719898631e-6
31350.,1.849186689042422e-6
31500.,1.813573030633616e-6
31650.,1.7786669440941735e-6
31800.,1.744453941087973e-6
31950.,1.7109198387440108e-6
32100.,1.6780507530308293e-6
32250.,1.6458330922786437e-6
32400.,1.6142535508458452e-6
32550.,1.5832991029264896e-6
32700.,1.55295699649563e-6
32850.,1.5232147473893528e-6
33000.,1.4940601335162851e-6
33150.,1.4654811891978057e-6
33300.,1.4374661996338298e-6
33450.,1.4100036954913903e-6
33600.,1.3830824476132246e-6
33750.,1.356691461843588e-6
33900.,1.3308199739686543e-6
34050.,1.305457444768913e-6
34200.,1.2805935551809797e-6
34350.,1.2562182015663419e-6
34500.,1.232321491084651e-6
34650.,1.2088937371691398e-6
34800.,1.1859254551018604e-6
34950.,1.1634073576865279e-6
35100.,1.141330351016662e-6
35250.,1.1196855303369894e-6
35400.,1.0984641759958864e-6
35550.,1.0776577494868945e-6
35700.,1.057257889577201e-6
35850.,1.0372564085212472e-6
36000.,1.0176452883573877e-6
36150.,9.984166772859006e-7
36300.,9.795628861263449e-7
36450.,9.610763848526057e-7
36600.,9.429497992038203e-7
36750.,9.251759073694839e-7
36900.,9.07747636747084e-7
37050.,8.906580607705928e-7
37200.,8.739003958082974e-7
37350.,8.574679981283327e-7
37500.,8.413543609304681e-7
37650.,8.255531114425918e-7
37800.,8.100580080805218e-7
37950.,7.948629376696542e-7
38100.,7.799619127271175e-7
38250.,7.653490688030481e-7
38400.,7.510186618796726e-7
38550.,7.369650658269425e-7
38700.,7.23182769913371e-7
38850.,7.096663763709451e-7
39000.,6.964105980128405e-7
39150.,6.834102559027711e-7
39300.,6.706602770748488e-7
39450.,6.581556923028028e-7
39600.,6.45891633917484e-7
39750.,6.33863333671557e-7
39900.,6.220661206503351e-7
40050.,6.104954192277829e-7
40200.,5.991467470665832e-7
40350.,5.880157131614001e-7
40500.,5.77098015924318e-7
40650.,5.663894413115225e-7
40800.,5.558858609903504e-7
40950.,5.455832305457626e-7
41100.,5.354775877254231e-7
41250.,5.255650507224771e-7
41400.,5.158418164952506e-7
41550.,5.063041591230024e-7
41700.,4.969484281969726e-7
41850.,4.877710472459485e-7
42000.,4.787685121955409e-7
42150.,4.699373898605071e-7
42300.,4.61274316469309e-7
42450.,4.527759962202742e-7
42600.,4.4443919986859447e-7
42750.,4.3626076334356157e-7
42900.,4.282375863952845e-7
43050.,4.2036663127034243e-7
43200.,4.12644921415643e-7
43350.,4.0506954020995007e-7
43500.,3.976376297224111e-7
43650.,3.9034638949753156e-7
43800.,3.8319307536601873e-7
43950.,3.7617499828088903e-7
44100.,3.6928952317833253e-7
44250.,3.625340678627795e-7
44400.,3.559061019156365e-7
44550.,3.4940314562716735e-7
44700.,3.430227689510303e-7
44850.,3.3676259048097535e-7
45000.,3.306202764492221e-7
45150.,3.245935397460185e-7
45300.,3.186801389599682e-7
45450.,3.128778774386262e-7
45600.,3.071846023689663e-7
45750.,3.015982038772481e-7
45900.,2.9611661414790347e-7
46050.,2.9073780656098077e-7
46200.,2.8545979484781096e-7
46350.,2.802806322644283e-7
46500.,2.7519841078241824e-7
46650.,2.702112602967825e-7
46800.,2.6531734785047297e-7
46950.,2.605148768752206e-7
47100.,2.558020864483109e-7
47250.,2.5117725056497524e-7
47400.,2.466386774260335e-7
47550.,2.421847087404942e-7
47700.,2.378137190427528e-7
47850.,2.3352411502410318e-7
48000.,2.2931433487825062e-7
48150.,2.2518284766049854e-7
48300.,2.2112815266035137e-7
48450.,2.1714877878722366e-7
48600.,2.1324328396898215e-7
48750.,2.094102545630298e-7
48900.,2.0564830477970035e-7
49050.,2.019560761176481e-7
49200.,1.9833223681102067e-7
49350.,1.9477548128813892e-7
49500.,1.9128452964144476e-7
49650.,1.878581271084732e-7
49800.,1.8449504356361555e-7
49950.,1.811940730204447e-7
